"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2880","test_mixed_hours_across_weeks","automationTesting","2026-05-18","passed","2026-05-18","","test_monthly_tab","",""
"","4865","test_target_shows_8h_for_default_pattern","automationTesting","2026-05-18","passed","2026-05-18","","test_hours_today","",""
"","12999","test_multiple_cycles_hours_worked_correct","automationTesting","2026-05-18","passed","2026-05-18","","test_hours_today","",""
"","1179","test_annual_unselected_working_pattern","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","4680","test_exact_hours_shows_success","automationTesting","2026-05-18","passed","2026-05-18","","test_monthly_tab","",""
"","7535","test_hours_worked_zero_when_only_clocked_in","automationTesting","2026-05-18","passed","2026-05-18","","test_hours_today","",""
"","14","test_weeks_value_valid","automationTesting","2026-05-18","passed","2026-05-18","","test_pay_period","",""
"","4359","test_entry_not_added_when_rejected","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","2101","test_empty_state_shows_no_entries_message","automationTesting","2026-05-18","passed","2026-05-18","","test_hours_today","",""
"","7467","test_remaining_shows_clock_back_in_hint","automationTesting","2026-05-18","passed","2026-05-18","","test_hours_today","",""
"","2823","test_holiday_days_add_to_total","automationTesting","2026-05-18","passed","2026-05-18","","test_monthly_tab","",""
"","16","test_hours_worked_inputs_present","automationTesting","2026-05-18","passed","2026-05-18","","test_monthly_tab","",""
"","7881","test_switch_to_10h_then_back_to_8h","automationTesting","2026-05-18","passed","2026-05-18","","test_hours_today","",""
"","9","test_period_start_date_correct","automationTesting","2026-05-18","passed","2026-05-18","","test_pay_period","",""
"","11","test_week_labels_visible","automationTesting","2026-05-18","passed","2026-05-18","","test_monthly_tab","",""
"","8","test_payday_date_correct","automationTesting","2026-05-18","passed","2026-05-18","","test_pay_period","",""
"","6318","test_10h_day_pattern_changes_target","automationTesting","2026-05-18","passed","2026-05-18","","test_hours_today","",""
"","6893","test_clear_all_confirm_resets_data","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","12","test_pay_period_section_has_red_border","automationTesting","2026-05-18","passed","2026-05-18","","test_pay_period","",""
"","5845","test_delete_restores_clock_in_action","automationTesting","2026-05-18","passed","2026-05-18","","test_hours_today","",""
"","2646","test_switch_to_4_day_updates_caption","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","2132","test_time_input_visible","automationTesting","2026-05-18","passed","2026-05-18","","test_hours_today","",""
"","2181","test_reset_button_visible","automationTesting","2026-05-18","passed","2026-05-18","","test_hours_today","",""
"","22","test_payday_is_last_friday_of_month","automationTesting","2026-05-18","passed","2026-05-18","","test_pay_period","",""
"","4875","test_after_clock_in_next_action_is_clock_out","automationTesting","2026-05-18","passed","2026-05-18","","test_hours_today","",""
"","4920","test_added_entry_shows_toil_hours","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","40","test_week_inputs_match_period_weeks","automationTesting","2026-05-18","passed","2026-05-18","","test_pay_period","",""
"","9","test_holiday_days_inputs_present","automationTesting","2026-05-18","passed","2026-05-18","","test_monthly_tab","",""
"","18","test_weeks_matches_expected_for_current_month","automationTesting","2026-05-18","passed","2026-05-18","","test_pay_period","",""
"","1252","test_qualification_caption_shows_8h_threshold","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","1390","test_initial_metrics_are_zero","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","7473","test_overtime_message_shown_after_target_met","automationTesting","2026-05-18","passed","2026-05-18","","test_hours_today","",""
"","12765","test_multiple_clock_cycles","automationTesting","2026-05-18","passed","2026-05-18","","test_hours_today","",""
"","1675","test_month_selector_changes_period","automationTesting","2026-05-18","passed","2026-05-18","","test_pay_period","",""
"","13","test_monthly_tab_visible","automationTesting","2026-05-18","passed","2026-05-18","","test_monthly_tab","",""
"","4732","test_monthly_overtime_message","automationTesting","2026-05-18","passed","2026-05-18","","test_monthly_tab","",""
"","8","test_calculate_button_visible","automationTesting","2026-05-18","passed","2026-05-18","","test_monthly_tab","",""
"","7427","test_reject_clock_event_equal_to_previous","automationTesting","2026-05-18","passed","2026-05-18","","test_hours_today","",""
"","1559","test_switch_to_4_day_pattern","automationTesting","2026-05-18","passed","2026-05-18","","test_monthly_tab","",""
"","12","test_monthly_tab_is_default","automationTesting","2026-05-18","passed","2026-05-18","","test_monthly_tab","",""
"","8","test_month_selector_visible","automationTesting","2026-05-18","passed","2026-05-18","","test_monthly_tab","",""
"","18","test_monthly_default_working_pattern","automationTesting","2026-05-18","passed","2026-05-18","","test_monthly_tab","",""
"","7633","test_reject_clock_event_before_previous","automationTesting","2026-05-18","passed","2026-05-18","","test_hours_today","",""
"","3065","test_preview_no_overtime_warning","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","13","test_month_selector_defaults_to_current_month","automationTesting","2026-05-18","passed","2026-05-18","","test_pay_period","",""
"","7457","test_overtime_under_3h_no_toil_qualification","automationTesting","2026-05-18","passed","2026-05-18","","test_hours_today","",""
"","2149","test_hours_today_default_working_pattern","automationTesting","2026-05-18","passed","2026-05-18","","test_hours_today","",""
"","8487","test_clear_all_resets_metrics","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","2122","test_hours_today_tab_visible","automationTesting","2026-05-18","passed","2026-05-18","","test_hours_today","",""
"","2766","test_preview_below_threshold_shows_flexi","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","1142","test_clear_all_button_visible","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","4805","test_clock_in_adds_entry","automationTesting","2026-05-18","passed","2026-05-18","","test_hours_today","",""
"","111","test_pay_period_display","automationTesting","2026-05-18","passed","2026-05-18","","test_pay_period","",""
"","4547","test_metrics_update_after_entry","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","16","test_hours_and_holiday_inputs_count_match","automationTesting","2026-05-18","passed","2026-05-18","","test_monthly_tab","",""
"","2201","test_decimal_hours_calculated_correctly","automationTesting","2026-05-18","passed","2026-05-18","","test_monthly_tab","",""
"","6997","test_clear_all_cancel_preserves_data","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","4767","test_todays_entries_header_shown_after_clock_in","automationTesting","2026-05-18","passed","2026-05-18","","test_hours_today","",""
"","5254","test_add_valid_overtime_entry","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","1605","test_enter_hours_and_calculate","automationTesting","2026-05-18","passed","2026-05-18","","test_monthly_tab","",""
"","9","test_month_selector_visible","automationTesting","2026-05-18","passed","2026-05-18","","test_pay_period","",""
"","1221","test_log_empty_message","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","2215","test_changing_month_updates_week_inputs","automationTesting","2026-05-18","passed","2026-05-18","","test_pay_period","",""
"","2248","test_single_week_40h_shows_deficit","automationTesting","2026-05-18","passed","2026-05-18","","test_monthly_tab","",""
"","2190","test_total_hours_displayed_correctly","automationTesting","2026-05-18","passed","2026-05-18","","test_monthly_tab","",""
"","5891","test_4_day_pattern_rejects_12h_as_below_threshold","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","4357","test_reject_below_threshold_overtime","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","1113","test_qualification_caption_visible","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","2231","test_under_hours_shows_deficit","automationTesting","2026-05-18","passed","2026-05-18","","test_monthly_tab","",""
"","5802","test_delete_entry","automationTesting","2026-05-18","passed","2026-05-18","","test_hours_today","",""
"","2185","test_no_holidays_no_info_message","automationTesting","2026-05-18","passed","2026-05-18","","test_monthly_tab","",""
"","1572","test_zero_hours_shows_full_deficit","automationTesting","2026-05-18","passed","2026-05-18","","test_monthly_tab","",""
"","6175","test_delete_entry_updates_metrics","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","4837","test_metrics_visible_after_clock_in","automationTesting","2026-05-18","passed","2026-05-18","","test_hours_today","",""
